"laoguoyin:yapin","chars","freq_chars"
"a1","啊嗄阿","阿啊"
"ai1","哀唉挨哎唲埃欸㶼噯","噯哀挨埃唉哎"
"ai3","乃毐矮","矮"
"ai4","喝嗌嗄噫壒㤅愛曖𣋞濭𥴨薆藹隘靄僾忦","愛藹靄"
"an1","啽㛺媕安庵𤟟痷盦菴諳鞌鵪䳺鞍","安鞍庵鵪諳"
"an3","唵晻揞腤黯黫黬𪒠俺","俺唵"
"an4","俺匼按暗案桉洝𧫧諳","按案暗諳"
"ang1","咉骯","骯"
"au1","𤏶爊鏖䥝凹坳","凹坳"
"au3","夭媪芺蝹燠襖","襖"
"au4","奧懊墺澳䜒隩拗","奧澳懊拗"
"ba1","𡴳吧巴疤筢羓芭蚆豝鈀舥葩杷","巴杷疤"
"ba4","爸叭壩弝把欛灞𥝧罷霸靶","爸把靶罷霸壩"
"ba5","八坺拔妭扒捌朳㭭犮胈茇荅鈸颰馛魃叭","八叭拔捌"
"bai1","掰擘","擘"
"bai3","啡㤳捭擺襬","擺"
"bai4","敗偝唄㠔拜𢷎猈稗粺菩矲","拜敗"
"ban1","搬斑斒班𤳗癍䈲朌螌頒鳻般瘢","班斑般搬瘢"
"ban3","坂阪昄板版粄蝂鈑鋬䬳","板版坂"
"ban4","半扮瓣絆辦伴拌","半伴拌辦瓣扮"
"bang1","垹幫搒彭梆邦鎊䩷帮","邦梆帮幫"
"bang3","𢗒榜磅綁鎊謗髈","磅榜鎊謗髈綁"
"bang4","棒棓䎧甏蚌謗傍","棒蚌傍謗"
"bau1","刨勹包枹狍笣胞苞褒襃麅","包胞"
"bau3","保㙅堡寶緥䎂葆褓飽𩢈鴇宝","保堡飽寶宝"
"bau4","暴儤報𢖔骲抱瀑煲爆爮犥菢虣豹趵鮑䶌雹","抱鮑雹報暴爆豹"
"be5","兡北帛柏伯檗㼣瓸白百竡粨糪胉舶鉑欂䌟苩鮊僰迫","北白百伯柏迫帛"
"bêi1","卑悲杯桮痺碑褙","杯卑碑悲"
"bêi4","垻伂備㔨北奰悖倍憊梖𣖾𤅹焙㷶犕狽㿙𤰈蓓被貝輩鋇𩇯鞴韛䰽背婢","背倍被貝狽輩備悖婢"
"ben1","奔犇賁","奔"
"ben3","㡷本畚𤲙苯","本"
"ben4","体笨","笨"
"beng1","浜伻傍嗙崩祊繃䑫","崩繃"
"beng4","𠊧堋䗒螷迸𩹁","迸"
"bi3","俾比沘佊匕啚埤妣㠲彼𢔌㪏朼柀疪䃾秕粃貏鄙婢","比彼鄙婢"
"bi4","㘩枇梐祕坒嬖斃庇弊彆敝毖㵨狴獘獙畀痹痺𤹝䀣鼻婢秘柲泌𦌠臂芘𦸣蜌襣䠋避閟陛鞁䪐髲閉幣蔽","閉秘避敝弊幣斃蔽臂陛婢"
